,smiles,value,cano_smiles
5359,CN(CCCCNC(=O)C1=CC2=CC=CC=C2O1)C3CC4=C5C(=CC=C4)NC(=O)N5C3,-4.1,CN(CCCCNC(=O)c1cc2ccccc2o1)C1Cc2cccc3[nH]c(=O)n(c23)C1
5360,CCCN1CCC2C1CCC3=C2C=CC=C3OS(=O)(=O)C(F)(F)F,-4.1,CCCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21
5361,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=NON=C4C=C3,-4.1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3nonc3c2)CC1
5362,CN(CCN1CCN(CC1)C2=CC=C(C=C2)Cl)C(=O)C3=CC(=CC=C3)OC,-4.1,COc1cccc(C(=O)N(C)CCN2CCN(c3ccc(Cl)cc3)CC2)c1
5363,CS(=O)(=O)NC1=C(C=CC(=C1)OCCNCC2=CC=CS2)F,-4.1,CS(=O)(=O)Nc1cc(OCCNCc2cccs2)ccc1F
5364,COC1=CC=C(C=C1)N2CCN(CC2)CCCCNC(=O)C3=CC4=NON=C4C=C3,-4.1,COc1ccc(N2CCN(CCCCNC(=O)c3ccc4nonc4c3)CC2)cc1
5365,CCN(CC)CCCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3N2CC=CCN4C(=NC5=CC=CC=C54)C,-4.1,CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2CC=CCn2c(C)nc3ccccc32)cc1
5366,CC1=C(OC=N1)C2=NN=C(N2C)SCCCN3CCOC(C3)C4=CC=C(C=C4)C(F)(F)F,-4.1,Cc1ncoc1-c1nnc(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)n1C
5367,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CC3CC4=C(C=CC(=C4)C5=CC=CC=C5)C(=O)C3,-4.1,O=C1CC(CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2cc(-c3ccccc3)ccc21
5368,C1CC2CCC1N2CCC3=CC(=CC=C3)F,-4.1,Fc1cccc(CCN2C3CCC2CC3)c1
5369,COC1=CC=CC(=C1)CCC2=CC=CC=C2OCCCCN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,-4.1,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)c1
5370,CNC1C(C2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4)CCO,-4.1,CNC1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2C1CCO
5371,C1CN(CCC1S(=O)(=O)C2=CC=C(C=C2)F)CCC3=C(C=C(C=C3)F)F,-4.1,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1
5372,CC(=O)NC1=C(C=C(C(=C1)OC)C(=O)NCC2CCN(C2)CC3=CC=CC=C3)Cl,-4.1,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NCC1CCN(Cc2ccccc2)C1
5373,CCCN1CCC2=CC=CC3=C2C1CC4=C3C(=CC=C4)OCC#CC,-4.1,CC#CCOc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3
5374,CCCN(CCC)C1CC2=CC=CC(=C2OC1)C3=CC=CC=C3OC,-4.1,CCCN(CCC)C1COc2c(cccc2-c2ccccc2OC)C1
5375,CC1=CC(=CC=C1)N2CCN(CC2)CCCCNC(=O)C3=NC4=CC=CC=C4C=C3,-4.1,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc4ccccc4n3)CC2)c1
5376,CSCCC(C(=O)[O-])[NH3+],-4.1,CSCCC([NH3+])C(=O)[O-]
5377,CCCN1CCC2=CC=CC3=C2C1CC4=C3C(=CC=C4)OCC=C,-4.1,C=CCOc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3
5378,C1CN(CCN1CCN2C(=O)COC3=CC=CC=C32)CC4=CC=C(C=C4)Cl,-4.1,O=C1COc2ccccc2N1CCN1CCN(Cc2ccc(Cl)cc2)CC1
5379,CC1=NC(=NO1)C2=CC(=CC=C2)C(=O)NCCCCN3CCN(CC3)C4=NOC5=C4C=C(C=C5)OC,-4.1,COc1ccc2onc(N3CCN(CCCCNC(=O)c4cccc(-c5noc(C)n5)c4)CC3)c2c1
5380,C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)I,-4.1,Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
5381,CC1=C(C2=C(CC3C4=C2C=CC=C4CCN3C(C)C)C=C1)OC,-4.1,COc1c(C)ccc2c1-c1cccc3c1C(C2)N(C(C)C)CC3
5382,CN1C(C2=CC=CC=C2C1=O)CCN3CCN(CC3)C4=CC=C(C=C4)OC,-4.1,COc1ccc(N2CCN(CCC3c4ccccc4C(=O)N3C)CC2)cc1
5383,CCOC1=C(C=C(C2=CC=CC=C21)Br)C(=O)NCCN3CCN(CC3)C4=CC=CC=C4,-4.1,CCOc1c(C(=O)NCCN2CCN(c3ccccc3)CC2)cc(Br)c2ccccc12
5384,C1CN(CCN1CC2=CC=CC=C2)CC3=CC4=CC=CC=C4O3,-4.1,c1ccc(CN2CCN(Cc3cc4ccccc4o3)CC2)cc1
5385,CC(C)OC1=CC=CC=C1N2CCN(CC2)CC3=CC=CC(=C3)C(=O)N4CCC5=CC=CC=C54,-4.1,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCc4ccccc43)c2)CC1
5386,CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)CC=C)O,-4.1,C=CCc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3
5387,C1COC(CN1CC2=NC3=CC=CC=C3N2)CCC4=CC=CC=C4,-4.1,c1ccc(CCC2CN(Cc3nc4ccccc4[nH]3)CCO2)cc1
5388,COC1=CC2=C(C=C1)ON=C2N3CCN(CC3)CCCCNC(=O)C4=CC5=NC=CN=C5C=C4,-4.1,COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc5nccnc5c4)CC3)c2c1
5389,C1CN(C2=CC=CC=C21)C(=O)N3CCN(CC3)CC4=CC=C(C=C4)Cl,-4.1,O=C(N1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21
5390,CC=CCN1CCC(CC1)COCC=CC2=CC=CC=C2,-4.1,CC=CCN1CCC(COCC=Cc2ccccc2)CC1
5391,C1=CC=C(C(=C1)F)S(=O)(=O)C2=CN=C(C=C2)C=CC3=C(C=C(C=C3)F)F,-4.1,O=S(=O)(c1ccc(C=Cc2ccc(F)cc2F)nc1)c1ccccc1F
5392,CC1CN(CCN1CC2=CC=C(C=C2)Cl)CC(=O)N3CCC4=CC=CC=C43,-4.1,CC1CN(CC(=O)N2CCc3ccccc32)CCN1Cc1ccc(Cl)cc1
5393,COC1=CC2=C(C=C1)ON=C2N3CCN(CC3)CCCCNC(=O)C4=CC(=CC=C4)N5CCOCC5,-4.1,COc1ccc2onc(N3CCN(CCCCNC(=O)c4cccc(N5CCOCC5)c4)CC3)c2c1
5394,COC1=CC=CC(=C1)CCC2=CC=CC=C2OCCCN3CCC4=CC=CC=C4C3,-4.1,COc1cccc(CCc2ccccc2OCCCN2CCc3ccccc3C2)c1
5395,C1CN(CCN1CC2=CN=C(N2)C3=CC=CC=C3)C4=CC=NC=C4,-4.1,c1ccc(-c2ncc(CN3CCN(c4ccncc4)CC3)[nH]2)cc1
5396,C1COC(=O)C1C2=CC=CC=C2,-4.1,O=C1OCCC1c1ccccc1
5397,CN1CCC2=C3C1CC4=C(C3=CC(=C2)OC)C(=CC=C4)OCC=C,-4.1,C=CCOc1cccc2c1-c1cc(OC)cc3c1C(C2)N(C)CC3
5398,CC1=NN(C(=C1)C2=NC3=C(O2)C=C4CCN(CCC4=C3)CCCSC5=NN=C(N5C)C6=C(N=CO6)C)C,-4.1,Cc1cc(-c2nc3cc4c(cc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1
5399,C1CCN(C1)CCC2=CC=CC=N2,-4.1,c1ccc(CCN2CCCC2)nc1
5400,C1CN2CC(CC2C3=C1C4=CC=CC=C4N3)C5=CC=CC=C5,-4.1,c1ccc(C2CC3c4[nH]c5ccccc5c4CCN3C2)cc1
5401,CC1CCCN1CCC2=CC3=C(O2)C=CC(=C3)C(=O)C4=CC=C(C=C4)F,-4.1,CC1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1
5402,CC1=NC2=CC=CC(=C2C=C1)C3=NN=C(N3C)SCCCN4CCC5=CC6=C(C=C5CC4)OC(=N6)N7CCCCC7,-4.1,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(N7CCCCC7)oc6cc5CC4)n3C)cccc2n1
5403,CN1CCC2=CC(=C(C=C2C3C1CCC4=C3C=CC(=C4)NC(=O)C5CC5)O)Cl,-4.1,CN1CCc2cc(Cl)c(O)cc2C2c3ccc(NC(=O)C4CC4)cc3CCC21
5404,C1CC1CN2CCC(CC2)COCC=CC3=CC=CC=C3,-4.1,C(=Cc1ccccc1)COCC1CCN(CC2CC2)CC1
5405,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,-4.1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
5406,CN1C(=NN=C1SCCCN2CCOC(C2)C3=CC=C(C=C3)C(F)(F)F)C4=CC(=CC=C4)C(=O)N,-4.1,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccc(C(N)=O)c1
5407,C1CN(CCC2=C(CC3=CC=CC=C31)NC4=CC=CC=C24)CCC5=CC=CC=C5,-4.1,c1ccc(CCN2CCc3ccccc3Cc3[nH]c4ccccc4c3CC2)cc1
5408,CC(C(C1=CC=CC=C1)O)N,-4.1,CC(N)C(O)c1ccccc1
5409,C1CN(CCN1CC(CCN2C=C(N=N2)C3=CC4=CC=CC=C4C=C3)O)C5=C(C(=CC=C5)Cl)Cl,-4.1,OC(CCn1cc(-c2ccc3ccccc3c2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1
5410,CC(=O)NC1=C(C=C(C(=C1)OC)C(=O)NCC2CCN(C2)CC3=CC=CC=C3)Cl,-4.1,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NCC1CCN(Cc2ccccc2)C1
5411,C1CN(CCN1CC2=CC=C(C=C2)OCCC(F)F)CC3=CC4=CC=CC=C4O3,-4.1,FC(F)CCOc1ccc(CN2CCN(Cc3cc4ccccc4o3)CC2)cc1
5412,CCCN1CCC2=CC=CC3=C2C1CC4=C3C5=C(C=C4)C=C(O5)C,-4.1,CCCN1CCc2cccc3c2C1Cc1ccc2cc(C)oc2c1-3
