,smiles,value,cano_smiles
2203,CC1=C(C=CC=C1Cl)C2=NOC(=N2)C3CCN3C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-1.6901960800285136,Cc1c(Cl)cccc1-c1noc(C2CCN2C(=O)c2cc(Cl)ccc2-n2nccn2)n1
2204,CC1CN(C(CO1)CC2=C(C=CC(=C2)N3N=CC=N3)F)C(=O)C4=CC=CC=C4N5N=CC=N5,-2.9537596917332287,CC1CN(C(=O)c2ccccc2-n2nccn2)C(Cc2cc(-n3nccn3)ccc2F)CO1
2205,C1COCC(N1C(=O)C2=C(C(=CC=C2)Cl)N3N=CC=N3)CC4=CC(=CC=C4)N5N=CC=N5,-2.638489256954637,O=C(c1cccc(Cl)c1-n1nccn1)N1CCOCC1Cc1cccc(-n2nccn2)c1
2206,CCOC1=C(C=CC=N1)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C(=CC=C4)C)N5N=CC=N5,-2.230448921378274,CCOc1ncccc1-c1noc(C2CCCN2C(=O)c2cccc(C)c2-n2nccn2)n1
2207,CCN(CC)C(=O)CN(C1=CC=CC(=C1C#N)N(C)C)S(=O)(=O)C2=CC(=C(C=C2)OC)OC,-2.041392685158225,CCN(CC)C(=O)CN(c1cccc(N(C)C)c1C#N)S(=O)(=O)c1ccc(OC)c(OC)c1
2208,CC1=CC(=C(C=C1)C(=O)N2CCC2C3=NC(=NO3)C4=CC=CC=C4OC(F)(F)F)N5N=CC=N5,-1.230448921378274,Cc1ccc(C(=O)N2CCC2c2nc(-c3ccccc3OC(F)(F)F)no2)c(-n2nccn2)c1
2209,CC1=CC(=C(C(=C1)C(=O)N2CCCC2C3=NC(=NO3)C4=C(C(=CC=C4)Cl)C)N5N=CC=N5)C,-1.380211241711606,Cc1cc(C)c(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3cccc(Cl)c3C)no2)c1
2210,CCC1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(C4=CC=CC=C4)C(=O)NC)C(C)C,-3.462996612028056,CCc1nc(C(C)C)c2n1CCN(C(C(=O)NC)c1ccccc1)C2CCc1ccc(C(F)(F)F)cc1
2211,CCOC1=C(C(=CC=C1)OCC)C(=O)NC2CCCC2NC3=NC4=CC=CC=C4O3,-3.0791812460476247,CCOc1cccc(OCC)c1C(=O)NC1CCCC1Nc1nc2ccccc2o1
2212,CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCCN4C=CC5=C4C=C(C=C5)OC,-1.6720978579357175,COc1ccc2ccn(CCCn3cc(NC(=O)c4ncoc4-c4cccc(C)c4)cn3)c2c1
2213,CC1CC(N(C1=O)CC2=CC(=C(C=C2)OC(F)F)OC)C3=C(C=CC=C3OC)OC,-2.3710678622717363,COc1cc(CN2C(=O)C(C)CC2c2c(OC)cccc2OC)ccc1OC(F)F
2215,CCC1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(C4=CC=CC=C4)C(=O)NC)C,-1.3802112417116061,CCc1nc(C)c2n1CCN(C(C(=O)NC)c1ccccc1)C2CCc1ccc(C(F)(F)F)cc1
2216,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NO4)C5=CC(=C(C=C5)F)F,-2.2479732663618064,Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3ccc(F)c(F)c3)no2)c1
2217,C1CN(C(OC1)CN2C=CC(=N2)C3=NC=C(C=C3)F)C(=O)C4=C(C=CC(=C4)F)C5=NC=CC=N5,-0.7923916894982539,O=C(c1cc(F)ccc1-c1ncccn1)N1CCCOC1Cn1ccc(-c2ccc(F)cn2)n1
2218,COC1=CC2=C(C=C1)NC=C2CCN3C=C(C=N3)NC(=O)C4=C(OC=N4)C5=CC(=CC=C5)C(F)(F)F,-1.2041199826559248,COc1ccc2[nH]cc(CCn3cc(NC(=O)c4ncoc4-c4cccc(C(F)(F)F)c4)cn3)c2c1
2219,C1COC2=C(C=CC=C2O1)C3CC(C(=O)N3CC4=CC=C(C=C4)OC(F)(F)F)Cl,-3.170261715394957,O=C1C(Cl)CC(c2cccc3c2OCCO3)N1Cc1ccc(OC(F)(F)F)cc1
2220,CCCCNC(=O)C(C1=CC=CC=C1)N2CCC3=CC(=C(C=C3C2CCC4=CC(=C(C=C4)F)F)OC)OC,-1.2787536009528289,CCCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(F)c(F)c1
2221,CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCN4CCC5=CC=CC=C54,-2.5658478186735176,Cc1cccc(-c2ocnc2C(=O)Nc2cnn(CCN3CCc4ccccc43)c2)c1
2222,CCOC1=C(C=CC=C1F)C2=NOC(=N2)C3CCCN3C(=O)C4=CC(=C(C=C4N5N=CC=N5)C)C,-0.6989700043360189,CCOc1c(F)cccc1-c1noc(C2CCCN2C(=O)c2cc(C)c(C)cc2-n2nccn2)n1
2223,COC1=C(C(=CC=C1)OC)C2CCCCC(=O)N2CC3=CN=CC(=C3)C4=CC=CC=C4,-2.6580113966571126,COc1cccc(OC)c1C1CCCCC(=O)N1Cc1cncc(-c2ccccc2)c1
2224,COC1=C(C=C(C=C1)CC2C3=CC(=C(C=C3CCN2CC(=O)NCCC4=CC=CC=C4)OC)OC)OC,-4.0,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCCc2ccccc2)cc1OC
2225,CC1=CC=CC(=C1)C2=C(N=C(S2)C)C(=O)N3CCCC3C4=NC(=NN4)C5=CC=CC=C5OC(F)(F)F,-2.130333768495006,Cc1cccc(-c2sc(C)nc2C(=O)N2CCCC2c2nc(-c3ccccc3OC(F)(F)F)n[nH]2)c1
