,smiles,value,cano_smiles
246,C1=C(ONC1=O)C(C(=O)[O-])[NH3+],-4.1,[NH3+]C(C(=O)[O-])c1cc(=O)[nH]o1
247,C1CCC(C1)N2CC3=C(C2=O)C=CC(=C3)C4=CC=CC(=C4)C5=CC(=C(C=C5)Cl)C(=O)O,-4.1,O=C(O)c1cc(-c2cccc(-c3ccc4c(c3)CN(C3CCCC3)C4=O)c2)ccc1Cl
248,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F,-4.1,N#Cc1ccc(NC(=O)c2ccccn2)cc1C(F)(F)F
249,C1=CC(=C(C=C1C(C(=O)O)N)C(=O)O)C(=O)O,-4.1,NC(C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1
250,C(CS(=O)(=O)O)C(C(=O)O)N,-4.1,NC(CCS(=O)(=O)O)C(=O)O
251,C(CC(CC(C(=O)O)N)C(=O)O)CN,-4.1,NCCCC(CC(N)C(=O)O)C(=O)O
252,C1C(NCC1(C(=O)O)N)C(=O)O,-4.1,NC1(C(=O)O)CNC(C(=O)O)C1
253,C1C(C1(C(=O)O)N)(CCC(=O)O)F,-4.1,NC1(C(=O)O)CC1(F)CCC(=O)O
254,C1C(C1C(=O)O)C(O)P(=O)(CCC(C(=O)O)N)O.Cl,-4.1,Cl.NC(CCP(=O)(O)C(O)C1CC1C(=O)O)C(=O)O
255,C1C2C(CC1(C(=O)O)N)ON=C2C(=O)O,-4.1,NC1(C(=O)O)CC2ON=C(C(=O)O)C2C1
256,[H+].C(CC(=O)O)C(C(=O)[O-])N,-4.1,NC(CCC(=O)O)C(=O)[O-].[H+]
257,C(CC(C(=O)O)N)C1=NSNC1=O,-4.1,NC(CCc1ns[nH]c1=O)C(=O)O
258,C1C(ONC1=O)C(C(=O)O)N,-4.1,NC(C(=O)O)C1CC(=O)NO1
259,COC1=C(C=C(C=C1)C(=O)O)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(=O)N(C4)C5CCCC5,-4.1,COc1ccc(C(=O)O)cc1-c1cccc(COc2ccc3c(c2)CN(C2CCCC2)C3=O)c1
260,C1C(N(CC1(C(=O)O)N)C(=O)C=CC(=O)O)C(=O)O,-4.1,NC1(C(=O)O)CC(C(=O)O)N(C(=O)C=CC(=O)O)C1
261,C(C(CC(=O)O)C(=O)O)C(C(=O)O)N,-4.1,NC(CC(CC(=O)O)C(=O)O)C(=O)O
262,CN(C(=O)CCC(CC(C(=O)O)N)C(=O)O)O,-4.1,CN(O)C(=O)CCC(CC(N)C(=O)O)C(=O)O
263,CCCC1=C(C=NN1O)C(C(=O)O)N,-4.1,CCCc1c(C(N)C(=O)O)cnn1O
264,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=C(C=NN3O)C(C(=O)O)N,-4.1,NC(C(=O)O)c1cnn(O)c1C(c1ccccc1)c1ccccc1
265,C1COC(=O)C1CP(=O)(CCC(C(=O)O)N)O,-4.1,NC(CCP(=O)(O)CC1CCOC1=O)C(=O)O
266,C1=CC(=CC=C1C(O)P(=O)(CCC(C(=O)O)N)O)OCCO,-4.1,NC(CCP(=O)(O)C(O)c1ccc(OCCO)cc1)C(=O)O
267,C(CC(=O)N)C(CC(C(=O)O)N)C(=O)O,-4.1,NC(=O)CCC(CC(N)C(=O)O)C(=O)O
268,C1=NN(C(=C1C(C(=O)O)N)Br)O,-4.1,NC(C(=O)O)c1cnn(O)c1Br
269,C1C(COC1=O)P(=O)(CCC(C(=O)O)N)O,-4.1,NC(CCP(=O)(O)C1COC(=O)C1)C(=O)O
270,C(CC(C(=O)O)N)C1=NSNC1=O,-4.1,NC(CCc1ns[nH]c1=O)C(=O)O
271,C(CN)C(CC(C(=O)O)N)C(=O)O,-4.1,NCCC(CC(N)C(=O)O)C(=O)O
272,C1=C(ONC1=O)CC(C(=O)O)N,-4.1,NC(Cc1cc(=O)[nH]o1)C(=O)O
273,C(C(C(=O)O)N)N1C(=O)NC(=O)O1,-4.1,NC(Cn1oc(=O)[nH]c1=O)C(=O)O
274,COC1=C(C=CC(=C1)C#CC2=CC=CC=N2)NC(=O)C3=CC=CC=C3Cl,-4.1,COc1cc(C#Cc2ccccn2)ccc1NC(=O)c1ccccc1Cl
275,C1C(C1(C(=O)O)N)(CCC(=O)O)F.Cl,-4.1,Cl.NC1(C(=O)O)CC1(F)CCC(=O)O
276,C1C(C1(C(=O)O)N)(C(O)P(=O)(O)O)F.Cl,-4.1,Cl.NC1(C(=O)O)CC1(F)C(O)P(=O)(O)O
277,C1CC1N2C(=O)C3=C(S2)C=C(C=C3)OCC4=CC=CC(=C4)C5=CC(=C(C=C5)Cl)C(=O)O,-4.1,O=C(O)c1cc(-c2cccc(COc3ccc4c(=O)n(C5CC5)sc4c3)c2)ccc1Cl
278,C(C(C(=O)O)N)N1C(=O)NC(=O)O1,-4.1,NC(Cn1oc(=O)[nH]c1=O)C(=O)O
279,C1C(ONC1=O)C(C(=O)[O-])[NH3+],-4.1,[NH3+]C(C(=O)[O-])C1CC(=O)NO1
